,fecha_view,tipo,sitio_web,nombre_id,precio,puntuacion,direccion,descripccion,ciudad,n_habitaciones
2,2022-10-31,hotel,https://www.expedia.com///Ambato-Hotels-JE-Hotel.h27140692.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341750&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=45&top_cur=USD&userIntent=&selectedRoomType=216014193&selectedRatePlan=260049406,J&E hotel,45,3.6,"Batalla de Tarqui, Ambato, Tungurahua, 180205",More travel,ambato,2
3,2022-10-31,hotel,https://www.expedia.com///Ambato-Hotels-Hotel-La-Algodonera.h36292366.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341750&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=64&top_cur=USD&userIntent=&selectedRoomType=214213071&selectedRatePlan=248111627,Hotel La Algodonera,64,4.2,"Av. Lizardo Ruiz y Eloy Alfaro, Ambato, Tungurahua, 180101",More travel,ambato,2
4,2022-10-31,hotel,https://www.expedia.com///Pelileo-Hotels-Hostal-Runa-Huasi.h40156008.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341752&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=30&top_cur=USD&userIntent=&selectedRoomType=215753476&selectedRatePlan=258236402,Hostal Runa Huasi,15,5.0,"Comunidad Manzana Pamba Chico, Salasaca, Tungurahua, 180758",More travel,ambato,2
5,2022-10-31,hotel,https://www.expedia.com///Tizaleo-Hotels-Hosteria-Pakari.h36134176.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341753&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=40&top_cur=USD&userIntent=&selectedRoomType=216039004&selectedRatePlan=260182648,Hostería El Tisaleño,40,5.0,"Panamerica Sur km 12, Ambato, Tizaleo, Tungurahua, 180205",More travel,ambato,2
6,2022-10-31,hotel,https://www.expedia.com///Banos-De-Agua-Santa-Hotels-Ayamtai-Jea-Guest-House.h12445510.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341752&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=80&top_cur=USD&userIntent=&selectedRoomType=219000847&selectedRatePlan=280001857,Ayamtai Jea Guest House,80,5.0,"Juan Leon Mera y los Misioneros, Baños de Agua Santa",More travel,ambato,2
7,2022-10-31,hotel,https://www.expedia.com///Banos-De-Agua-Santa-Hotels-Hotel-La-Casa-Amarilla-City.h17086768.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341752&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=42&top_cur=USD&userIntent=&selectedRoomType=221741947&selectedRatePlan=298203855,Hotel La Casa Amarilla City,42,4.3,"Calle Ambato y Pastaza, Baños de Agua Santa, Tungurahua, 180250",More travel,ambato,2
8,2022-10-31,hotel,https://www.expedia.com///Banos-De-Agua-Santa-Hotels-La-Casa-Del-Molino-Blanco-BB.h16761769.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341751&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=29&top_cur=USD&userIntent=&selectedRoomType=201773501&selectedRatePlan=209088076,La Casa del Molino Blanco B&B,29,4.3,"Misioneros Dominicanos y Juan Leon Mera, San Jose, Baños de Agua Santa, Tungurahua, EC180250",More travel,ambato,2
0,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-JW-Marriott-Hotel-Quito.h425875.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014714&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&trackingData=AAAAAQAAAAEAAAAQpicVGW53hqJnIXR-ikXgPWffc98zW-e67mYdEGz6PQsMt28H4gn0wMMp7cCfzMoFCfial4jZY4smRYTNTbDh9BI_5oZBZwTqVE2BkagPsY5XjeolhWkOClDRdL-Vh585_fm6stNvQh1l8O6gacwuz7pNLwT6CEWasNCqJYEUxVDsbChDEa-7J2gNmbSkxrR92DrwXGoC07SJKdhSQ79Fkgey-kPVFyg4RbaC6EcwIZyw9hezIDa3wN3pE0m_CcbaeZgpCwaXcAScSBV7gnTEiKu2T2G4zhv3xPFRtaIOvpFLVZITKVUzxJxTKNfKIRqll5KPpKQGQmkGmADYjhKeqvlQsb2tEHDxZZrM5LDPMNgaaNW-_awfSjkls6NoG-2oMwmtWSUUot1oQT8Ei_LutVxPykz7lX0yPndFjeiBU5j6pZ7_h4vOFMOszykaMKx3MZ__ubJwMh3ezKhLc_9QX_fgUSmfPnRGs9sbMStyixWDRPLZUd1L9bgQZyeH3jAZGqE1bQ-LgKG5R47z18TbQ8xy32myCz6Sy-T8cK19lHFEFzQm4jidxLA8Y2mP210eBajO_Hm5fkVERQv9fxOh5p-hDalrRh-gCXDj3ks7o8S_KMU6B0ECpRdSYRj0aXaJqXHV6_uFiMrQ45EUs3K_JmAxwEVfdTU2MLYBAeDfJDPSstOIJBSWsaQkrat-Fzr9SYa_7FymURx2zKwWIIxRP8OhF2eTSBmHXjvJDQyCRHcQsuiXARu3Xhr9R2aNbTy75UJJc6uoe1iaDq2DidRk1xulEGaQOjTAlzvERGm1rI9FJid1dkj-YvIDuumZaA6ap9a1sgeAJR9qLcu70-pcuqsfvqmGk5uupOeMDIhQ6BG2A4K3P5OPUV45x1wSRxiakDR0IcAye14usC8ABZDhsVreUY_QixncudUzqpsMFgWD5TSgkSHRobkFbZq2U1Sy7LGfYkFXwy4OXa9Opf7EsH-L4Q_sqBOCS2dvyI19Fc2cJkFhnTRrEM3hV4oAZU2ZvUL9f2jx-hs7NgkMpGYLGlbFqip_1YdS1pJuxmiEcA9jS7AieX10PatFl_Irs7pVj3kBN6xBSJ8WX8Mj22g_HxrHDp7NHgf7GyfKWhVvet7tH221FmwnjtywuQF1-E8nNTHgerefgbOMwc7_oMYTEflUygIUqNs2K7aPjiKhbI7cyHNQKBVqacoUk_3tdyK_NTGYihdx72ynEH9QqfZXvWgP9zUnUhaIJRvm3PSfvqRjpsXTxgi5T58MW2wSz5sCIb1vlOFYBhte6JH0_-H6EE8tMeCVOnhjWsJ9waoPHYi9Plf3Xw78a59CYWgrCUrUGC2PtJdPeLxdqOn6c8pjDjpNlghTZSxU2-xjYS2KwtpNjPNYiKaySdXzGvYdUAkFaLdr5Q3pXRSuV_OjaCBXpJFMfa922mQbos1IfJzTbi3ClLFxeT0VP3WqThuHHSAy6Rp9b_DTDZa7_MeWvMc769qEF4cyDZFOL486LPlDqX5JxJ_Sbw65uQ_XiFDUJuqGb7udjmFzC5JZPK64nOMe0hfKFsaeEc3RuF_KtI_B77K7i15-OGwecdTxxUft8BMDPHyPlcbeFwMn_jRFrEavA_m8jCFEF1lWYQbmCd3Hng5UhiqIXwLZ86SHK5LdSVeyGSmjnOy0RwrmDONAXCmQZwWtPUrwtRtFflSW-aytteuMbaynn0feqXySSmbLzLpDeIxeXYTLQrwV6LDM8XFc4xAHZ2tQo2Oev4kuw-pRy0_koOTHfii-OTo2t64ey42bSrAMSgdhKpKSr9bQ97dYXrBqWE_QB3l8IUS1sc35XPWveKUJ1P8PNTPvV-l74148J1ZfGkTahw0KCg-AERfNzMumH4yQRbwzGwApdGQqUqHYRbgU0sWtXURMmyKTX4WrJWoSYFT3nxBbc4h_Llz3HQLa3ZE46o-3Hqu6PffLAqBuNvq22ne1ZIf0J-5EHK8ugSylxzUV4u7_0gmj3YQlVuPrd6JFZhDc4syFSW_uczxS3dxXEeCf8lpg8BDdRMo5z3o3f4lgmlQf8tjw8yqrfyaq_bOnB00vXfv14ShNzP-pTNCSfQXbKckiFILYl8qu2A34THfHFwGxIlrYYVmOkFaxhhva8gNUamCjikyJBjWdwrJIsiPHNItNI7AhY-WNY_y7O4xd_g5lkf3FGbAkTeHmb3-y-abCIaI-Kvh0N90uWpqch5aH5tk-HbRgpTHUxaahyLRJeTVwgi0aX93YXmNIXUGYr2lhQw7WCl0gBfFz3vQyrX1A5qqkkYL2yKKElMkP5hrDAR1KfVt_6fszwDJ8cmKAyfVJTTEgzs_xStyjmgyDX79VtCfqvdzZnJI40gOYNtHVNfgnNo40yTJ6_Q9mIlcRuDQmGNKYtqiKzV4%3D&rank=1&testVersionOverride=Buttercup%2C44204.0.0%2C44203.0.0%2C43549.129874.3%2C43550.132977.0%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C39483.0.0%2C38427.115718.1%2C42444.0.0%2C42589.0.0%2C42876.124673.0%2C42973.0.0%2C42974.0.0%2C42975.0.0%2C42976.0.0%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.0.0%2C37949.0.0%2C37354.113955.1%2C43435.128144.0%2C43153.132057.3&slots=&position=1&beaconIssued=&sort=RECOMMENDED&top_dp=169&top_cur=USD&userIntent=&selectedRoomType=58670&selectedRatePlan=140933,JW Marriott Quito,169,4.6,"Avenida Orellana 1172 Y Avenida Amazonas, Quito, Pichincha, 170150",More travel,quito,2
1,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-Sheraton-Quito-Hotel.h127181.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014711&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&neighborhoodId=6112385&trackingData=AAAAAQAAAAEAAAAQNCdl-HNkrugmIwBxT8f3F9t6j9OFZktyDoFeQMLXVlTwkvnUx1bTSLFg2aYM4bqUAyojT5vZ4Ygj0Xu536fdx7_Q4EcWg5KwUR2ZqI_YVMPJGHj7-ToGzcPANEHUS01lKrXJXV2LfINOYqHixUdXdsAa7uTPen930H0KgDxVl70_40-_lGWvLHeJRC_9qgR7spq2sHxa-1xyIfydXNUJUvVVcoqvoxq9lvKEOqqt_yGS40nD0EQgSuNUMn13O1dXiDs7BNsZ4AK8IqDmFtqjLqntv-Gbto5tGaqIMkvV6_ZnUW_-ielb1zjiyZ9hK-hTcyn1Ld8Jr_NyUo-MR2XIqNHX3-MP_oVKMD4iTuCRW97vTXqjGfNxMDC6J4fuySC71vm-nnyN9KYXAPXltkQRQcBZw2hQlY1Q8kKQsGTEJRmLS7sQT3fG4DdB71qew--Etwnpqj710kK9V5HgzZBUqQSDifHXpNUhrimUXvIqB3wbQu4na2uGdDvPuE5ZznR_FZbO92syFVPIuHF646GpedTUmbLpzirtxrIGsf7vQGcg8VNofA9CJ6F6HV7otXdjbbk4nAqnFwKaIg9J_VD222FTIFj2BBrIP8-tZMtexxeW1QPQsKCe2j5Bh2d61mBJWR6Kf3vC-TJsuxUigFfnO7mnFJ-z_Dv_TFBE5DePL65EAReUDY_HJOKiz3ONzMc9LZuuSkd5tYrP8hL_X33dttj1aH5TnUcUkrjA_gto_A2c1YnbXQHfBgPvzw7Gql8KEv5Np4NiSxJeMb3DJnB0XApvrPhgbKp91uGJv1X0PvhaiKLLnfDM1dq1be5n9Gl1wDA1SVqqRlVCaXyNGMWHLmD_T3QBZAzXcGQ_HLzO4BWkh8bgW4BM3Mv45LyoHBRVyYsN6kz_lSrk3zwwgFolEYAhZDFdHcEwLLQUQE4eVyFJ-wib3I9tJrbI85XVCbCRAvVWHmJn2HdXhPS0ZRhW73phdh6j1eqrUFcX_PKI_rTahCthgXq7ncnlLCmpcFaRT9tSwb_F58cdfv6MUXAj4d0Dq8ZxDlY6is_sZ0lLKI4af5F8mEGAuIor91frElSF8Q7FQ7f9JnhOmFLMRv1hmwWeSDpiK1V9bQhHemSMJXOUK2F4C2uhI-gv2HWczk3agcaGg_EDWZZfewUl52rFNukqGzOV33NEL8yTfALJTlJ_rBYX1Skqj9SqnDnm-4Ikz7zvpmGZDQf1Lwskjwh4viWDVNweHmtus1lcLTjyodU2vpWS5Cyeqf059RA9fVDnLFlVRHo0WGT9ht_fXJLgMulCieg2KOWf27hlrGMLl6Idsw2LbMIoAKRgQkxaM-H_LrrOVn4fdfuvhS4ENbWLpJYvyQDufslPSdZi1vrMWJh-jp9974ZGG0b2bWxtaBqwIvFclw-zHLvXhp3dqW4ze-VAmFmTyKzsTXTVkW7R2F1UYQkiX-LRfKuLjNAhXXAS2pK8H939y1snb_N4b2X8j4j3pSAmNPwPiY9JlRj7Jd-UI7x7ef8oRHZBqAJy3DY8dfa1qEr8kWn7vMjFVDONEqrWOAUggbblkGlIBR1D7EgAHWVaVTYQq49IK49W8mdGpW-RdVwwVa_PcG21GVmUCH2ihPMq_LPKdTCzIPPxcHOg8rQeWNG4XA-V2HL5VUMcr8LNrZXkPrh91Z82O447KHbHW4ObaKxk0cgk44xmZ8ddhsv6zd-W3xpCSvDT-005v6F5gmr0OGhqIS3XpTdsw-4Gr75LrBnvwselW7BBEFrXvS9nemx4XZkIev5bBQGnqu2DcAGSGFo-bGZ7uuU1_0fVBUibtgJeFfZF-E-dTcFGNdacHTIIJ884m4T2YZNjdoGHfrb2Vz_GumVuWq7pCnZrNCv4DjYFYInbKDjRnjMa2SFCtYq-pPbFm1IyKpfZVW4dOM7dlK7GinM14wUqkSCYahwLJw27PhzOFdF4fdtU1YvNJ5AJxGU_8jc-pzwGKKdJYw9623kOF3_2U2wiR8qy2wJr2Uy4FoaVmQwFzJY6AZwTGFG3AJrMeia19qY4bq38Ksna-X87ZkHUSvV4crEt40u321WVi41ECyLd9MMNDU9nnpkt_9KAkuCTW6lu67wai0GNri3kLOGABuiqCB6QON3w6Uiij4yrOdUHppdhFFekI522lqtcd8kVl8pdjhKFYAzZAOl4ExSjw9e4K1lpYuc1sqUCWqq8-dknoMSCDI0rXt-l1u7YNOvEESUU0j3z33E859LvivlD281o7JxiNDUhvaoe4b_VfGZbOwufXpHTmVT9vt9_HFzhjrpVznysnd_BgJ_RyRPV-nr8DPD93yGC9HS7O9ZxhiR9nz7XF0dH98JBiI5Bw-KKWlejpcqi6SoNHcv07lN386vF8LfP5O5Sh3aM2J7LVRW3gHY%3D&rank=2&testVersionOverride=Buttercup%2C44204.0.0%2C44203.0.0%2C43549.129874.3%2C43550.132977.0%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C39483.0.0%2C38427.115718.1%2C42444.0.0%2C42589.0.0%2C42876.124673.0%2C42973.0.0%2C42974.0.0%2C42975.0.0%2C42976.0.0%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.0.0%2C37949.0.0%2C37354.113955.1%2C43435.128144.0%2C43153.132057.3&slots=&position=2&beaconIssued=&sort=RECOMMENDED&top_dp=159&top_cur=USD&userIntent=&selectedRoomType=212704844&selectedRatePlan=238093058,Sheraton Quito Hotel,159,4.5,"Av. Naciones Unidas, and Av. Republica de El Salvador, Quito, Pichincha",More travel,quito,2
2,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-Casa-Gangotena.h6793417.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014714&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&neighborhoodId=553248635976396551&trackingData=AAAAAQAAAAEAAAAQl5t1kB-wPPZnFdlyvyQvwi-PuVo3qjgNMVDNJHocrmM9zOQOawTGpF-0wtj7-RtnWeRkZ3Oi1eloLxA1QB3qApaDQt8Ojpxr3uZVs6AnFve03XZ_O6SyxSlEqCPEzK05ZcCdRFE5MdJ1bodEi9-zQFlyWcl6jGY1ysVigXBH898PyHcGt-9wMtBQewM3dqJRViMDWSYqwp63r_f9vTnaKugG5bPxgAeJz5qF_O0PeXCLcsCojAfGM-bsa5ZFYzTjXC-VhYJnqeUGQsPlvjz2GLg9V_GfFYxM_Kc6lo4smCGzpDYWhPvm7HOegtO3GYnu2hIamgHCfvjzwscKMhECD9onIRURArRw-L09J4Omow5qHpsx4oaLWmGQ8AfUa01rj_PxWqmiVrSDUrBE_GnTy0VEJZuxwLjiU4Nc_Z9EaigkQAwm2mUJ0gp2it0tPJEWer1vBNCaRtTycWD2herzOTuoZRQdfzQFP50_JYd2k9tA073mEn3yNwCBufTudGqwCqpwg6JAznDVJj74nie2l6ZQRw1aXqVS42liFbtbO94tyCnKeJFlB94gZFGHtcOxuM3e-NU2MagdY-RwU1t5Gcb-9KEl5906fUQ09Ri-u3kEouOtX2rtHhmpE6FCaRLKDUll-gI4R6rBjTIkQpy0paDqeVQDP0CsWX1jAqb7cbficyMrmIGnRviV0H2hlho9JCOFNXbX1XvIRtbnAreR6NS5Y3mO-nt-WsKGxTZCHxJhoy1evs-5Ow1tBp2BpF9qwP4oUD3nGEsnRE5G3GSG70ZFV28HA-pnEHG6LTEKIy2OP4dQt3ZFQ9HS9m64m4pWla6fXEXvcZMARXNGTcUcbMFcISEvuH7RMswhvC3aKwDVSVpdKeT9G5jVrQ5R0gVnc5-fkg280xpCmKKvKchXhGFZbNo96dsX7yz76zDLcHZqfAeSo5Br7VcilYJdPJ0dS2SRIqWL-htY08jXf5egsZwQqUHPCdaQ1_1laCfNv3liuVOULrRRXlyRzpmbtxqZRX5KxZuswnDck9tKjWRnc8rWGybNyIUoDofG0jbM7t6aeitPC_6yeAeHIUjU0CK28A8LVQ8RydQLVtar9M073qjXWyaO1Op47uOtFUX8n5Z8DrTTxTn3j7kdifs1L_RI8O6Yagcnc0SFM942gia6MEMhtu867U2aZccFNjXFD53ybFYe282_Wdt7kGzx6hXMExuezrQTHYH5oZz-Ll3jWAuGTRkfswsdi4fcGyvzz1BDgRFtMtKxs4kAzapkUl19IJbJJFvdx6NNkCktoTs5yDPTelqMCulj8GaPqtARxUhMKjWp6LaPb6eu2ZyOF_tHfnQkW42-y3L6Oa8oCynHjG33-Q7vDJXpAq8zImy7B4fbUVOPfdkPhElLhLakRjkqhKFrmObac7iEeydo-gjbvwBkS0L8F7KzMdlzGZ3zFz32dkTGW6mYFFkKIPD4tO8ABS9lB5Vvc_wY8qsHuCIVMic-JPbsANlWaZv9rjB_2N__pUz3LX9OpOt2vh0b50No4dsUBydsprYdHYV-0LvbpNiz8iBKTWDQOoA2UFvkm2xSN_gDi_Y9hWOfxfFK0ei2Avz-jjrx-cac6KFG7DZ3ld3ALV6D3ae7NH88DmUa7hvog1S5suUMkQXHJPDs9jKqNPwZ8p7wIV461F2q3HmJBESOu8r2azPp0lZUnzBTA41iGdYh6mkbRFXMVCz_4cTp36CarTgGgOtSu7iQkCZRVhExwU67JlQXOwe292eQDTyy5AGT4AM7JxpaS1bY0ybvH0ica0VfuyeYwZU-vlF2pjvLENETc6Q2JtIdz8LXVlHWjQNMOgNhzB3nJKmy0q-GVV3SHPhJh_Y2gb4I5dYZ9KlF9uo1_9TD-gkEIAeG3PWporPz_VuX4sWsje-0q1BQ2yVCeEw07v4CfYmro6QN-RYQDnXiDkoVYhv1wem9ajlRMg6YCfifw1CbxJfYkGdxHtZfhDyAkX9sEPViXb3EvPGTY9c6vUyKONSaq1Hw2ULBKo1jQFZLFmkI8_6_1QJ82EArxjOkEcOO2ECtNftd0FDRYxmsrfN-YNThrVbNgL0Mi2M-tw2hEIQbuLBh5Id6F-lCAr0LfFybEtarOwk9kDVEN9g_kJ6_hp6Y2LbuNdU808g7KlRqNsYJM1-qu2z9fC31L4amqBBUY8OgGMz5zAKDZ6XG9u0Cm11XMXhkwmJE1vP4wYeyL18yHZZEDFUzUmjfiQwPfPG_VWdrfl2YDalot-WtTlkYtzogx_HFOfjH6ginmhyB0z_SrFhtzpd8c-TnQVLd4Nrz7Vc6S4nADPHFA5AXYdrajS6_uXEO49cFV-K5-kyHSRuxs5epgk66uZEfFPmvlEI8m4V8ZYKfhvK383y85ebIb3CsnsymSUw%3D&rank=3&testVersionOverride=Buttercup%2C44204.0.0%2C44203.0.0%2C43549.129874.3%2C43550.132977.0%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C39483.0.0%2C38427.115718.1%2C42444.0.0%2C42589.0.0%2C42876.124673.0%2C42973.0.0%2C42974.0.0%2C42975.0.0%2C42976.0.0%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.0.0%2C37949.0.0%2C37354.113955.1%2C43435.128144.0%2C43153.132057.3&slots=&position=3&beaconIssued=&sort=RECOMMENDED&top_dp=307&top_cur=USD&userIntent=&selectedRoomType=214202090&selectedRatePlan=248034740,Casa Gangotena,307,4.8,"Calle Bolívar OE 6-41 & Cuenca, Quito, Pichincha",More travel,quito,2
3,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-Hotel-Dann-Carlton-Quito.h470205.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014714&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&neighborhoodId=6112385&sort=RECOMMENDED&top_dp=120&top_cur=USD&userIntent=&selectedRoomType=200088439&selectedRatePlan=200511072,Hotel Dann Carlton Quito,120,4.4,"Avenida República de El Salvador N34-377, Quito, Pichincha, 170135",More travel,quito,2
4,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-Le-Parc-Hotel.h1717284.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014716&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&neighborhoodId=6112385&sort=RECOMMENDED&top_dp=99&top_cur=USD&userIntent=&selectedRoomType=200212475&selectedRatePlan=208488046,"Le Parc Hotel, Beyond Stars",99,4.6,"República de El Salvador, N34-349 e Irlanda, Quito, Quito",More travel,quito,2
5,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-Hotel-Reina-Isabel.h4289762.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014716&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&neighborhoodId=6308927&sort=RECOMMENDED&top_dp=73&top_cur=USD&userIntent=&selectedRoomType=200216990&selectedRatePlan=201232630,Hotel Reina Isabel,73,4.4,"Av. Amazonas N23-44 y Veintimilla, Quito, Pichincha",More travel,quito,2
6,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-Hotel-Finlandia.h4253854.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014714&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&neighborhoodId=6112385&sort=RECOMMENDED&top_dp=83&top_cur=USD&userIntent=&selectedRoomType=200236946&selectedRatePlan=201347587,Hotel Finlandia,83,4.4,"Finlandia 35-129 & Suecia St., Quito, Pichincha, 170515",More travel,quito,2
7,2022-10-31,hotel,https://www.expedia.com///Quito-Hotels-Wyndham-Garden-Quito.h564080.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667276014716&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=3623&destination=Quito%2C+Pichincha%2C+Ecuador&destType=MARKET&neighborhoodId=6112385&sort=RECOMMENDED&top_dp=71&top_cur=USD&userIntent=&selectedRoomType=210302419&selectedRatePlan=222138501,Wyndham Garden Quito,71,4.5,"Alemania E5-103 y Republica Av, Quito, Pichincha, 17-21-409",More travel,quito,2
